pair,open_time,close_time,side,alpha,beta,half_life_minutes,qty_y,qty_x,entry_price_y,entry_price_x,exit_price_y,exit_price_x,u_entry,u_exit,spread_change,entry_z,exit_z,z_change,pnl,fees,reason
MAR-HLT,2022-11-16 14:34:00+00:00,2022-11-16 14:37:00+00:00,1,13.600261705034976,0.7631435750005557,208.80980328904414,427.24110852122016,-326.04630694408434,137.76,161.17,138.05,161.85,1.163888312125465,0.9349506811250876,-0.22893763100037745,-2.8726635312069906,-3.1367320150454376,-0.26406848383844705,-103.39912874132972,5.587561490512725,adverse
TMO-DHR,2022-11-16 14:32:00+00:00,2022-11-16 14:47:00+00:00,1,-69.87977519946801,0.6419927813953917,215.05846859345453,101.85797447866464,-65.39208434285874,270.66,548.5,268.36,542.09,-11.593265395904325,-9.778091667159856,1.815173728744469,-1.6642826169196596,-0.3995842742751122,1.2646983426445475,181.75076928516685,3.1391500516257365,mean_revert
XLF-KBE,2022-11-16 14:30:00+00:00,2022-11-16 15:29:00+00:00,1,16.457634015278234,0.9401219376076411,542.5293357874622,519.1142219531853,-488.0306681823116,49.07,35.44,48.72,35.32,-0.7055554840930327,-0.9427408515801119,-0.2371853674870792,-1.7488585905925103,-3.010548871844227,-1.2616902812517168,-125.25272190642735,2.1264244046879215,adverse
XLF-KBE,2022-11-16 15:38:00+00:00,2022-11-16 15:39:00+00:00,1,16.457634015278234,0.9401219376076411,542.5293357874622,506.45263409560255,-476.12723167245156,48.685,35.28,48.64,35.265,-0.9401359740758153,-0.9710341450116999,-0.03089817093588465,-2.924971644601293,-3.0946888684332166,-0.16971722383192356,-17.71968420658289,2.071224147366956,adverse
XLF-KBE,2022-11-16 15:43:00+00:00,2022-11-16 15:44:00+00:00,1,16.457634015278234,0.9401219376076411,542.5293357874622,506.39987009556825,-476.0776270785033,48.68,35.29,48.64,35.26,-0.9545371934518911,-0.9663335353236562,-0.011796341871765037,-2.959955251389505,-3.020300468461564,-0.060345217072058865,-8.044555332078481,2.0708893406118234,adverse
XLF-KBE,2022-11-16 15:47:00+00:00,2022-11-16 15:48:00+00:00,1,16.457634015278234,0.9401219376076411,542.5293357874622,506.5544250243593,-476.2229275576252,48.66,35.28,48.65,35.28,-0.965135974075821,-0.975135974075819,-0.00999999999999801,-2.9892403876010016,-3.0403622366921392,-0.051121849091137594,-7.137795133325991,2.072250883083405,adverse
XLF-KBE,2022-11-16 15:51:00+00:00,2022-11-16 15:53:00+00:00,1,16.457634015278234,0.9401219376076411,542.5293357874622,506.92235052244644,-476.56882238978216,48.62,35.24,48.55,35.2,-0.9675310965715127,-0.9999262190672056,-0.032395122495692874,-2.9793108670706148,-3.1502287073444304,-0.17091784027381562,-18.491126774279774,2.0693151332992556,adverse
XLF-KBE,2022-11-16 16:24:00+00:00,2022-11-16 16:25:00+00:00,1,16.457634015278234,0.9401219376076411,542.5293357874622,507.59635862808216,-477.20247219601566,48.545,35.23,48.53,35.22,-1.033129877195421,-1.0387286578193482,-0.005598780623927269,-2.9840288509881536,-3.0019559997512637,-0.01792714876311008,-4.913956775210538,2.0720361177482247,adverse
MAR-HLT,2022-11-16 14:38:00+00:00,2022-11-17 14:30:00+00:00,1,13.600261705034976,0.7631435750005557,208.80980328904414,426.63148004767254,-325.5810728913591,137.71,161.07,138.34,158.49,1.1902026696255348,3.789113093126957,2.5989104235014224,-2.742436882195991,3.146936569389733,5.889373451585724,1103.2459233301158,5.531077159617326,adverse
JPM-BAC,2022-11-16 14:42:00+00:00,2022-11-17 14:30:00+00:00,1,3.6059155142099195,0.25724197980333185,462.3506499853106,981.1054101865735,-252.38149811215416,37.43,132.91,36.94,132.03,-0.3659470498707549,-0.6295741076438262,-0.26362705777307127,-1.69760944357273,-3.044937038504842,-1.347327594932112,-262.12413080513045,3.4781981524019865,adverse
