,equity
2023-04-14 15:42:00+00:00,11688.078310442803
2023-04-14 15:43:00+00:00,11688.078310442803
2023-04-14 15:44:00+00:00,11688.078310442803
2023-04-14 15:45:00+00:00,11688.078310442803
2023-04-14 15:46:00+00:00,11688.078310442803
2023-04-14 15:47:00+00:00,11688.078310442803
2023-04-14 15:48:00+00:00,11688.078310442803
2023-04-14 15:49:00+00:00,11688.078310442803
2023-04-14 15:50:00+00:00,11688.078310442803
2023-04-14 15:51:00+00:00,11688.078310442803
2023-04-14 15:52:00+00:00,11688.078310442803
2023-04-14 15:53:00+00:00,11688.078310442803
2023-04-14 15:54:00+00:00,11688.078310442803
2023-04-14 15:55:00+00:00,11688.078310442803
2023-04-14 15:56:00+00:00,11688.078310442803
2023-04-14 15:57:00+00:00,11688.078310442803
2023-04-14 15:58:00+00:00,11688.078310442803
2023-04-14 15:59:00+00:00,11688.078310442803
2023-04-14 16:00:00+00:00,11688.078310442803
2023-04-14 16:01:00+00:00,11688.078310442803
2023-04-14 16:02:00+00:00,11688.078310442803
2023-04-14 16:03:00+00:00,11688.078310442803
2023-04-14 16:04:00+00:00,11688.078310442803
2023-04-14 16:05:00+00:00,11688.078310442803
2023-04-14 16:06:00+00:00,11688.078310442803
2023-04-14 16:07:00+00:00,11688.078310442803
2023-04-14 16:08:00+00:00,11688.078310442803
2023-04-14 16:09:00+00:00,11688.078310442803
2023-04-14 16:10:00+00:00,11688.078310442803
2023-04-14 16:11:00+00:00,11688.078310442803
2023-04-14 16:12:00+00:00,11688.078310442803
2023-04-14 16:13:00+00:00,11688.078310442803
2023-04-14 16:14:00+00:00,11688.078310442803
2023-04-14 16:15:00+00:00,11688.078310442803
2023-04-14 16:16:00+00:00,11688.078310442803
2023-04-14 16:17:00+00:00,11688.078310442803
2023-04-14 16:18:00+00:00,11688.078310442803
2023-04-14 16:19:00+00:00,11688.078310442803
2023-04-14 16:20:00+00:00,11688.078310442803
2023-04-14 16:21:00+00:00,11688.078310442803
2023-04-14 16:22:00+00:00,11688.078310442803
2023-04-14 16:23:00+00:00,11688.078310442803
2023-04-14 16:24:00+00:00,11688.078310442803
2023-04-14 16:25:00+00:00,11688.078310442803
2023-04-14 16:26:00+00:00,11688.078310442803
2023-04-14 16:27:00+00:00,11688.078310442803
2023-04-14 16:28:00+00:00,11688.078310442803
2023-04-14 16:29:00+00:00,11688.078310442803
2023-04-14 16:30:00+00:00,11688.078310442803
2023-04-14 16:31:00+00:00,11688.078310442803
2023-04-14 16:32:00+00:00,11688.078310442803
2023-04-14 16:33:00+00:00,11688.078310442803
2023-04-14 16:34:00+00:00,11688.078310442803
2023-04-14 16:35:00+00:00,11688.078310442803
2023-04-14 16:36:00+00:00,11688.078310442803
2023-04-14 16:37:00+00:00,11688.078310442803
2023-04-14 16:38:00+00:00,11688.078310442803
2023-04-14 16:39:00+00:00,11688.078310442803
2023-04-14 16:40:00+00:00,11688.078310442803
2023-04-14 16:41:00+00:00,11688.078310442803
2023-04-14 16:42:00+00:00,11714.123141734937
2023-04-14 16:43:00+00:00,11714.123141734937
2023-04-14 16:44:00+00:00,11714.123141734937
2023-04-14 16:45:00+00:00,11714.123141734937
2023-04-14 16:46:00+00:00,11714.123141734937
2023-04-14 16:47:00+00:00,11714.123141734937
2023-04-14 16:48:00+00:00,11714.123141734937
2023-04-14 16:49:00+00:00,11714.123141734937
2023-04-14 16:50:00+00:00,11714.123141734937
2023-04-14 16:51:00+00:00,11714.123141734937
2023-04-14 16:52:00+00:00,11714.123141734937
2023-04-14 16:53:00+00:00,11714.123141734937
2023-04-14 16:54:00+00:00,11714.123141734937
2023-04-14 16:55:00+00:00,11714.123141734937
2023-04-14 16:56:00+00:00,11714.123141734937
2023-04-14 16:57:00+00:00,11714.123141734937
2023-04-14 16:58:00+00:00,11714.123141734937
2023-04-14 16:59:00+00:00,11714.123141734937
2023-04-14 17:00:00+00:00,11714.123141734937
2023-04-14 17:01:00+00:00,11714.123141734937
2023-04-14 17:02:00+00:00,11714.123141734937
2023-04-14 17:03:00+00:00,11714.123141734937
2023-04-14 17:04:00+00:00,11714.123141734937
2023-04-14 17:05:00+00:00,11714.123141734937
2023-04-14 17:06:00+00:00,11714.123141734937
2023-04-14 17:07:00+00:00,11714.123141734937
2023-04-14 17:08:00+00:00,11714.123141734937
2023-04-14 17:09:00+00:00,11714.123141734937
2023-04-14 17:10:00+00:00,11714.123141734937
2023-04-14 17:11:00+00:00,11714.123141734937
